rank,model_name,lr_law,batch_size_per_gpu,global_batch_size,n_f,num_gpus,learning_rate,adam_steps,training_time_sec,l2_error,l2_t0.25,l2_t0.5,l2_t0.75,l2_t1.0,final_loss,n_parameters,seed,scheduler,grad_sync,local_points,batch_exceeds_local_data,unique_points_per_batch,gpu_name,torch_version
1,sqrtK_lr1.414e-03_bs32_gpu2,sqrtK,32,64,10000,2,0.0014142135623730952,5000,19.859797650016844,0.38663689872211715,0.6802825884410537,0.579049845144767,0.2760247528339935,0.01119040846865455,0.09198591858148575,3021,42,"StepLR(step_size=1000, gamma=0.7)",ddp,5000,False,32,NVIDIA GeForce RTX 5090,2.12.0.dev20260408+cu128
2,sqrtK_lr1.414e-03_bs64_gpu2,sqrtK,64,128,10000,2,0.0014142135623730952,5000,19.892474794003647,0.28127703151980454,0.443566066079113,0.4031460051733192,0.2730102756027139,0.005385779224072176,0.019396940246224403,3021,42,"StepLR(step_size=1000, gamma=0.7)",ddp,5000,False,64,NVIDIA GeForce RTX 5090,2.12.0.dev20260408+cu128
3,linearK_lr2.000e-03_bs2048_gpu2,linearK,2048,4096,10000,2,0.002,5000,19.976543835015036,0.08685698213672173,0.12474789146148044,0.11276894966330078,0.10734592810228157,0.002565159319824178,0.00298385345377028,3021,42,"StepLR(step_size=1000, gamma=0.7)",ddp,5000,False,2048,NVIDIA GeForce RTX 5090,2.12.0.dev20260408+cu128
4,linearK_lr2.000e-03_bs4096_gpu2,linearK,4096,8192,10000,2,0.002,5000,20.042252262006514,0.15504660867962475,0.2097062691481908,0.20541382944320727,0.20353016225253176,0.0015361738745691327,0.0034282312262803316,3021,42,"StepLR(step_size=1000, gamma=0.7)",ddp,5000,False,4096,NVIDIA GeForce RTX 5090,2.12.0.dev20260408+cu128
5,baseline_lr1.000e-03_bs512_gpu2,baseline,512,1024,10000,2,0.001,5000,20.075360176037066,0.23345863594318486,0.31945289210959815,0.30695460464319224,0.3000487327865078,0.007378314233441246,0.012646189890801907,3021,42,"StepLR(step_size=1000, gamma=0.7)",ddp,5000,False,512,NVIDIA GeForce RTX 5090,2.12.0.dev20260408+cu128
6,linearK_lr2.000e-03_bs32_gpu2,linearK,32,64,10000,2,0.002,5000,20.116910733049735,0.3647062719103903,0.6338456216861259,0.5459102254345981,0.2714563939597194,0.007612846561117915,0.05995943024754524,3021,42,"StepLR(step_size=1000, gamma=0.7)",ddp,5000,False,32,NVIDIA GeForce RTX 5090,2.12.0.dev20260408+cu128
7,linearK_lr2.000e-03_bs256_gpu2,linearK,256,512,10000,2,0.002,5000,20.238714443985373,0.12382561740121076,0.14551768688054997,0.1636179093729558,0.17583728058053769,0.010329592770799612,0.018533363938331604,3021,42,"StepLR(step_size=1000, gamma=0.7)",ddp,5000,False,256,NVIDIA GeForce RTX 5090,2.12.0.dev20260408+cu128
8,baseline_lr1.000e-03_bs32_gpu2,baseline,32,64,10000,2,0.001,5000,20.319062489958014,0.31037975073584884,0.5079712115520744,0.4568457402083307,0.26853971583496783,0.00816233534802243,0.038056448101997375,3021,42,"StepLR(step_size=1000, gamma=0.7)",ddp,5000,False,32,NVIDIA GeForce RTX 5090,2.12.0.dev20260408+cu128
9,sqrtK_lr1.414e-03_bs128_gpu2,sqrtK,128,256,10000,2,0.0014142135623730952,5000,20.32020044903038,0.25258401581046414,0.3677417580013474,0.3603303641591759,0.27244887616994423,0.00981506491138913,0.021515216678380966,3021,42,"StepLR(step_size=1000, gamma=0.7)",ddp,5000,False,128,NVIDIA GeForce RTX 5090,2.12.0.dev20260408+cu128
10,baseline_lr1.000e-03_bs256_gpu2,baseline,256,512,10000,2,0.001,5000,20.322916497010738,0.2550528887560607,0.38629072074176946,0.3549701857864586,0.2721807588175953,0.006769889678419398,0.01553878653794527,3021,42,"StepLR(step_size=1000, gamma=0.7)",ddp,5000,False,256,NVIDIA GeForce RTX 5090,2.12.0.dev20260408+cu128
