rank,model_name,lr_law,batch_size_per_gpu,global_batch_size,n_f,num_gpus,learning_rate,adam_steps,training_time_sec,l2_error,l2_t0.25,l2_t0.5,l2_t0.75,l2_t1.0,final_loss,n_parameters,seed,scheduler,grad_sync,local_points,batch_exceeds_local_data,unique_points_per_batch,gpu_name,torch_version
11,linearK_lr2.000e-03_bs512_gpu2,linearK,512,1024,10000,2,0.002,5000,20.37409174599452,0.35804100124780236,0.6089473329752224,0.5336876669633315,0.27820200372771653,0.011327001324938954,0.05459771305322647,3021,42,"StepLR(step_size=1000, gamma=0.7)",ddp,5000,False,512,NVIDIA GeForce RTX 5090,2.12.0.dev20260408+cu128
12,linearK_lr2.000e-03_bs64_gpu2,linearK,64,128,10000,2,0.002,5000,20.437580804980826,0.27851666796981056,0.43615356004966443,0.4041007341662375,0.26272934152403893,0.011083036139301497,0.047447919845581055,3021,42,"StepLR(step_size=1000, gamma=0.7)",ddp,5000,False,64,NVIDIA GeForce RTX 5090,2.12.0.dev20260408+cu128
13,linearK_lr2.000e-03_bs128_gpu2,linearK,128,256,10000,2,0.002,5000,20.623974665009882,0.38591339364801547,0.67952221323365,0.5777135440300564,0.2748622192352748,0.011555598093080568,0.08166062831878662,3021,42,"StepLR(step_size=1000, gamma=0.7)",ddp,5000,False,128,NVIDIA GeForce RTX 5090,2.12.0.dev20260408+cu128
14,sqrtK_lr1.414e-03_bs512_gpu2,sqrtK,512,1024,10000,2,0.0014142135623730952,5000,20.699916582962032,0.3274563836071848,0.5471994448681403,0.4873033425339761,0.2695766357727549,0.005746111253867856,0.05122413858771324,3021,42,"StepLR(step_size=1000, gamma=0.7)",ddp,5000,False,512,NVIDIA GeForce RTX 5090,2.12.0.dev20260408+cu128
15,sqrtK_lr1.414e-03_bs1024_gpu2,sqrtK,1024,2048,10000,2,0.0014142135623730952,5000,20.80415921995882,0.1223870761073071,0.16379448335017446,0.16132062951837392,0.1623867900552287,0.00204640150545135,0.005434437654912472,3021,42,"StepLR(step_size=1000, gamma=0.7)",ddp,5000,False,1024,NVIDIA GeForce RTX 5090,2.12.0.dev20260408+cu128
16,sqrtK_lr1.414e-03_bs2048_gpu2,sqrtK,2048,4096,10000,2,0.0014142135623730952,5000,20.869642376026604,0.3696483087593817,0.6441902046349753,0.5593812002827463,0.27100458557445967,0.004017244545345448,0.06063653528690338,3021,42,"StepLR(step_size=1000, gamma=0.7)",ddp,5000,False,2048,NVIDIA GeForce RTX 5090,2.12.0.dev20260408+cu128
17,baseline_lr1.000e-03_bs64_gpu2,baseline,64,128,10000,2,0.001,5000,20.874168682959862,0.3433152882769119,0.5795301019009058,0.5174828575305042,0.2688530444688481,0.007395149207389453,0.04477277398109436,3021,42,"StepLR(step_size=1000, gamma=0.7)",ddp,5000,False,64,NVIDIA GeForce RTX 5090,2.12.0.dev20260408+cu128
18,linearK_lr2.000e-03_bs1024_gpu2,linearK,1024,2048,10000,2,0.002,5000,20.972697423945647,0.14288775509435922,0.193291705340666,0.18839533372724493,0.18763640534686474,0.0022275759626612245,0.007889855653047562,3021,42,"StepLR(step_size=1000, gamma=0.7)",ddp,5000,False,1024,NVIDIA GeForce RTX 5090,2.12.0.dev20260408+cu128
19,baseline_lr1.000e-03_bs1024_gpu2,baseline,1024,2048,10000,2,0.001,5000,21.043634376954287,0.20958430220093172,0.314069451033997,0.2699468158701471,0.2507136721626939,0.003607269736888782,0.015020385384559631,3021,42,"StepLR(step_size=1000, gamma=0.7)",ddp,5000,False,1024,NVIDIA GeForce RTX 5090,2.12.0.dev20260408+cu128
20,baseline_lr1.000e-03_bs128_gpu2,baseline,128,256,10000,2,0.001,5000,21.132476285041776,0.3562269065112234,0.6196258884008958,0.5230390879120477,0.2675016330873435,0.014741016644606687,0.10133959352970123,3021,42,"StepLR(step_size=1000, gamma=0.7)",ddp,5000,False,128,NVIDIA GeForce RTX 5090,2.12.0.dev20260408+cu128
21,baseline_lr1.000e-03_bs4096_gpu2,baseline,4096,8192,10000,2,0.001,5000,21.162931440980174,0.16247527367456704,0.22020738423319508,0.21678552944804122,0.21158803118499586,0.0013201498320360486,0.004291017074137926,3021,42,"StepLR(step_size=1000, gamma=0.7)",ddp,5000,False,4096,NVIDIA GeForce RTX 5090,2.12.0.dev20260408+cu128
22,baseline_lr1.000e-03_bs2048_gpu2,baseline,2048,4096,10000,2,0.001,5000,21.323271091969218,0.23818216225934144,0.3513828353171454,0.32696837392266326,0.2692275723145889,0.0051498674829680855,0.014790670946240425,3021,42,"StepLR(step_size=1000, gamma=0.7)",ddp,5000,False,2048,NVIDIA GeForce RTX 5090,2.12.0.dev20260408+cu128
23,sqrtK_lr1.414e-03_bs4096_gpu2,sqrtK,4096,8192,10000,2,0.0014142135623730952,5000,21.374547391023953,0.06933473304196024,0.10518172821565784,0.08975601723825073,0.08097044869658297,0.0014307380173494116,0.002878359518945217,3021,42,"StepLR(step_size=1000, gamma=0.7)",ddp,5000,False,4096,NVIDIA GeForce RTX 5090,2.12.0.dev20260408+cu128
24,sqrtK_lr1.414e-03_bs256_gpu2,sqrtK,256,512,10000,2,0.0014142135623730952,5000,21.441166547010653,0.1674947727659143,0.37432259349338237,0.19846441643065119,0.07430575535144254,0.02288632578818108,0.06688396632671356,3021,42,"StepLR(step_size=1000, gamma=0.7)",ddp,5000,False,256,NVIDIA GeForce RTX 5090,2.12.0.dev20260408+cu128
