model_name,lr_law,batch_size_per_gpu,global_batch_size,n_f,num_gpus,learning_rate,adam_steps,training_time_sec,l2_error,l2_t0.25,l2_t0.5,l2_t0.75,l2_t1.0,final_loss,lambda_f,lambda_ic,lambda_bc,n_parameters,seed,scheduler,grad_sync,local_points,batch_exceeds_local_data,unique_points_per_batch,gpu_name,torch_version,l2_100t,l2_100t_std,l2_norm,l2_mean,l_inf,mass_balance_rel_mean,mass_balance_rel_final,mass_balance_mean,mass_balance_max,mass_t0
linearK_lr2.000e-03_bs128_gpu2,linearK,128,256,10000,2,0.002,15000,62.262854050146416,0.2158253616659554,0.3010576419392573,0.2894311966299553,0.26638420351525294,0.006428404579356051,0.031063660979270935,3.0,5.0,1.0,3021,42,"StepLR(step_size=1000, gamma=0.7)",ddp,5000,False,128,NVIDIA GeForce RTX 5090,2.12.0.dev20260408+cu128,2.465877e-01,1.250692e-01,2.324244e-01,2.465877e-01,7.044273e-01,4.775970e-02,3.028967e-02,2.130557e-02,3.028967e-02,5.159090e-02
linearK_lr2.000e-03_bs256_gpu2,linearK,256,512,10000,2,0.002,15000,62.83655386301689,0.2667581453028882,0.4153511099892438,0.37295447510894497,0.25396702432803764,0.02475997178532638,0.24285730719566345,3.0,5.0,1.0,3021,42,"StepLR(step_size=1000, gamma=0.7)",ddp,5000,False,256,NVIDIA GeForce RTX 5090,2.12.0.dev20260408+cu128,3.838055e-01,2.786204e-01,3.106932e-01,3.838055e-01,7.009187e-01,1.215967e-01,6.943728e-02,5.335553e-02,7.014893e-02,1.408790e-01
linearK_lr2.000e-03_bs512_gpu2,linearK,512,1024,10000,2,0.002,15000,63.402985450811684,0.29541449118486135,0.45731325552887736,0.4456099838027208,0.2588903159938548,0.019844409413992212,0.2423226684331894,3.0,5.0,1.0,3021,42,"StepLR(step_size=1000, gamma=0.7)",ddp,5000,False,512,NVIDIA GeForce RTX 5090,2.12.0.dev20260408+cu128,4.105484e-01,2.843377e-01,3.420120e-01,4.105484e-01,6.834840e-01,1.348481e-01,7.457952e-02,5.796285e-02,7.457952e-02,1.502857e-01
linearK_lr2.000e-03_bs1024_gpu2,linearK,1024,2048,10000,2,0.002,15000,63.90615632105619,0.07876883111810239,0.1120146611868917,0.10263408851862706,0.09668613420850325,0.0037404405583875426,0.007134634535759687,3.0,5.0,1.0,3021,42,"StepLR(step_size=1000, gamma=0.7)",ddp,5000,False,1024,NVIDIA GeForce RTX 5090,2.12.0.dev20260408+cu128,9.787684e-02,5.497016e-02,8.934203e-02,9.787686e-02,6.627250e-01,8.165611e-03,4.790587e-03,3.672411e-03,5.674124e-03,7.528035e-03
linearK_lr2.000e-03_bs2048_gpu2,linearK,2048,4096,10000,2,0.002,15000,60.912939325906336,0.0611655156710617,0.07908857737237937,0.08265893101610007,0.08058627573355401,0.002328278562213352,0.004864117596298456,3.0,5.0,1.0,3021,42,"StepLR(step_size=1000, gamma=0.7)",ddp,5000,False,2048,NVIDIA GeForce RTX 5090,2.12.0.dev20260408+cu128,7.825824e-02,4.720583e-02,7.245010e-02,7.825826e-02,6.448075e-01,5.397501e-03,2.924173e-03,2.396721e-03,3.391672e-03,4.515661e-03
linearK_lr2.000e-03_bs4096_gpu2,linearK,4096,8192,10000,2,0.002,15000,60.786203919909894,0.1596507294667402,0.21757044495192493,0.21095633447749743,0.2073396378931009,0.0027365005444375287,0.011361530050635338,3.0,5.0,1.0,3021,42,"StepLR(step_size=1000, gamma=0.7)",ddp,5000,False,4096,NVIDIA GeForce RTX 5090,2.12.0.dev20260408+cu128,1.778845e-01,8.683878e-02,1.731449e-01,1.778845e-01,6.947442e-01,2.851034e-02,1.673788e-02,1.259765e-02,1.754987e-02,2.707744e-02
sqrtK_lr1.414e-03_bs32_gpu2,sqrtK,32,64,10000,2,0.0014142135623730952,15000,60.85158190294169,0.1370820120682238,0.27316911173559477,0.09720568445140214,0.15733346175920462,0.020619790326693574,0.07409375160932541,3.0,5.0,1.0,3021,42,"StepLR(step_size=1000, gamma=0.7)",ddp,5000,False,32,NVIDIA GeForce RTX 5090,2.12.0.dev20260408+cu128,2.267686e-01,2.351353e-01,1.675647e-01,2.267686e-01,9.034056e-01,5.413086e-02,3.168366e-02,2.407158e-02,3.194779e-02,4.763550e-02
sqrtK_lr1.414e-03_bs64_gpu2,sqrtK,64,128,10000,2,0.0014142135623730952,15000,63.192306970013306,0.28812355111802207,0.57617310231547,0.2955598288253149,0.22174612021479917,0.059015153116504154,0.26180121302604675,3.0,5.0,1.0,3021,42,"StepLR(step_size=1000, gamma=0.7)",ddp,5000,False,64,NVIDIA GeForce RTX 5090,2.12.0.dev20260408+cu128,3.847269e-01,2.776571e-01,2.972991e-01,3.847269e-01,7.096064e-01,1.123331e-01,6.327704e-02,4.907512e-02,6.570206e-02,1.270618e-01
sqrtK_lr1.414e-03_bs128_gpu2,sqrtK,128,256,10000,2,0.0014142135623730952,15000,62.03585378290154,0.16438172295779332,0.22141464913049558,0.21561214513632565,0.21023798327469548,0.010262114289656584,0.021082470193505287,3.0,5.0,1.0,3021,42,"StepLR(step_size=1000, gamma=0.7)",ddp,5000,False,128,NVIDIA GeForce RTX 5090,2.12.0.dev20260408+cu128,1.858441e-01,8.943487e-02,1.768187e-01,1.858441e-01,6.973939e-01,3.624126e-02,2.132725e-02,1.585062e-02,2.132725e-02,2.868014e-02
sqrtK_lr1.414e-03_bs256_gpu2,sqrtK,256,512,10000,2,0.0014142135623730952,15000,62.88590022898279,0.17740214294859089,0.2372223513402439,0.23417654302954127,0.2311351449775301,0.0070745324470482575,0.020644761621952057,3.0,5.0,1.0,3021,42,"StepLR(step_size=1000, gamma=0.7)",ddp,5000,False,256,NVIDIA GeForce RTX 5090,2.12.0.dev20260408+cu128,1.984475e-01,9.689722e-02,1.906716e-01,1.984475e-01,7.013360e-01,3.572818e-02,2.317410e-02,1.579967e-02,2.317410e-02,3.476222e-02
sqrtK_lr1.414e-03_bs512_gpu2,sqrtK,512,1024,10000,2,0.0014142135623730952,15000,63.51548123708926,0.21136417304507418,0.36008487314480986,0.2574433313569942,0.2155687434889917,0.012359744189500999,0.04769269749522209,3.0,5.0,1.0,3021,42,"StepLR(step_size=1000, gamma=0.7)",ddp,5000,False,512,NVIDIA GeForce RTX 5090,2.12.0.dev20260408+cu128,3.020004e-01,2.134146e-01,2.388060e-01,3.020004e-01,9.773321e-01,7.056249e-03,2.199321e-03,2.928057e-03,4.504249e-03,-2.200417e-03
sqrtK_lr1.414e-03_bs1024_gpu2,sqrtK,1024,2048,10000,2,0.0014142135623730952,15000,62.12743134214543,0.0558013842877553,0.07494109709277322,0.07343442025443243,0.0712957744592989,0.0035342453445166284,0.006850468926131725,3.0,5.0,1.0,3021,42,"StepLR(step_size=1000, gamma=0.7)",ddp,5000,False,1024,NVIDIA GeForce RTX 5090,2.12.0.dev20260408+cu128,7.518573e-02,4.910697e-02,6.654846e-02,7.518572e-02,6.328858e-01,4.535346e-03,4.411547e-03,2.104496e-03,4.411547e-03,4.059593e-03
sqrtK_lr1.414e-03_bs2048_gpu2,sqrtK,2048,4096,10000,2,0.0014142135623730952,15000,64.4089241118636,0.16904824993126466,0.27192224018393646,0.21017335564722642,0.18705906340071987,0.007038340493175861,0.028126366436481476,3.0,5.0,1.0,3021,42,"StepLR(step_size=1000, gamma=0.7)",ddp,5000,False,2048,NVIDIA GeForce RTX 5090,2.12.0.dev20260408+cu128,2.378235e-01,1.745590e-01,1.905662e-01,2.378235e-01,9.967243e-01,1.057729e-02,4.337813e-03,4.779345e-03,7.356531e-03,-8.602792e-03
sqrtK_lr1.414e-03_bs4096_gpu2,sqrtK,4096,8192,10000,2,0.0014142135623730952,15000,63.89795579900965,0.06282062048753892,0.0769044742474235,0.08266905736750994,0.08803938416896966,0.0036695661662525894,0.0077628581784665585,3.0,5.0,1.0,3021,42,"StepLR(step_size=1000, gamma=0.7)",ddp,5000,False,4096,NVIDIA GeForce RTX 5090,2.12.0.dev20260408+cu128,8.104542e-02,5.078864e-02,7.469096e-02,8.104542e-02,6.538665e-01,6.807917e-03,5.519086e-03,3.170102e-03,5.519086e-03,5.850984e-03
linearG_lr3.200e-06_bs32_gpu2,linearG,32,64,10000,2,3.2000000000000003e-06,15000,62.8113643550314,0.8089027709459728,0.8512001509684246,0.8079956748967191,0.7895948707724275,0.7868203871463201,0.8113225102424622,3.0,5.0,1.0,3021,42,"StepLR(step_size=1000, gamma=0.7)",ddp,5000,False,32,NVIDIA GeForce RTX 5090,2.12.0.dev20260408+cu128,8.512457e-01,1.298671e-01,8.063898e-01,8.512457e-01,8.318362e-01,1.440617e-02,1.360121e-02,7.138153e-03,1.360121e-02,1.640992e-01
linearG_lr6.400e-06_bs64_gpu2,linearG,64,128,10000,2,6.4000000000000006e-06,15000,61.77856252994388,0.7115182958133339,0.7740055936360987,0.7232319895777468,0.6896305918089739,0.6592050082305161,0.6141360402107239,3.0,5.0,1.0,3021,42,"StepLR(step_size=1000, gamma=0.7)",ddp,5000,False,64,NVIDIA GeForce RTX 5090,2.12.0.dev20260408+cu128,7.565224e-01,1.229080e-01,7.086261e-01,7.565224e-01,7.783821e-01,5.235232e-02,2.659400e-02,2.313120e-02,3.154147e-02,1.379041e-01
linearG_lr1.280e-05_bs128_gpu2,linearG,128,256,10000,2,1.2800000000000001e-05,15000,61.89924428798258,0.4152403459513817,0.6649995470828698,0.49906371537212985,0.32477248414484927,0.17212563720567797,0.4336208403110504,3.0,5.0,1.0,3021,42,"StepLR(step_size=1000, gamma=0.7)",ddp,5000,False,128,NVIDIA GeForce RTX 5090,2.12.0.dev20260408+cu128,5.241405e-01,2.671903e-01,4.244984e-01,5.241405e-01,6.819319e-01,1.595762e-01,7.088375e-02,6.300100e-02,7.952617e-02,1.464766e-01
