rank,model_name,lr_law,batch_size_per_gpu,global_batch_size,n_f,num_gpus,learning_rate,adam_steps,training_time_sec,l2_error,l2_t0.25,l2_t0.5,l2_t0.75,l2_t1.0,final_loss,lambda_f,lambda_ic,lambda_bc,n_parameters,seed,scheduler,grad_sync,local_points,batch_exceeds_local_data,unique_points_per_batch,gpu_name,torch_version
19,linearG_lr1.024e-04_bs1024_gpu2,linearG,1024,2048,10000,2,0.00010240000000000001,5000,20.529080792912282,0.27639087413846203,0.4491281249656288,0.36359877717019967,0.2527414347210743,0.040095159696945215,0.28724363446235657,3.0,5.0,1.0,3021,42,"StepLR(step_size=1000, gamma=0.7)",ddp,5000,False,1024,NVIDIA GeForce RTX 5090,2.12.0.dev20260408+cu128
20,baseline_lr1.000e-03_bs256_gpu2,baseline,256,512,10000,2,0.001,5000,20.55073199805338,0.8265805144856112,0.9848178766586126,0.8493834440941582,0.7780528628270714,0.6940678743626028,0.5083202719688416,3.0,5.0,1.0,3021,42,"StepLR(step_size=1000, gamma=0.7)",ddp,5000,False,256,NVIDIA GeForce RTX 5090,2.12.0.dev20260408+cu128
21,linearG_lr1.280e-05_bs128_gpu2,linearG,128,256,10000,2,1.2800000000000001e-05,5000,20.561577185057104,0.41894715126500187,0.6681431439657802,0.5009810203157714,0.3249901662046681,0.18167427457378782,0.4683097004890442,3.0,5.0,1.0,3021,42,"StepLR(step_size=1000, gamma=0.7)",ddp,5000,False,128,NVIDIA GeForce RTX 5090,2.12.0.dev20260408+cu128
22,sqrtK_lr1.414e-03_bs64_gpu2,sqrtK,64,128,10000,2,0.0014142135623730952,5000,20.735939621110447,0.3429748480827762,0.6003000844771091,0.40889606310265053,0.2525231052074713,0.11018013954387372,0.3412782549858093,3.0,5.0,1.0,3021,42,"StepLR(step_size=1000, gamma=0.7)",ddp,5000,False,64,NVIDIA GeForce RTX 5090,2.12.0.dev20260408+cu128
23,sqrtG_lr4.525e-04_bs2048_gpu2,sqrtG,2048,4096,10000,2,0.00045254833995939044,5000,20.746291668969207,0.16706958354751184,0.22906481015816657,0.2139226610233012,0.2114427462279038,0.01384811678067572,0.032433994114398956,3.0,5.0,1.0,3021,42,"StepLR(step_size=1000, gamma=0.7)",ddp,5000,False,2048,NVIDIA GeForce RTX 5090,2.12.0.dev20260408+cu128
24,baseline_lr1.000e-03_bs32_gpu2,baseline,32,64,10000,2,0.001,5000,20.750720491050743,0.2937377253983141,0.4534401016352699,0.4234020121327768,0.2681176303507837,0.029991157474425986,0.13800740242004395,3.0,5.0,1.0,3021,42,"StepLR(step_size=1000, gamma=0.7)",ddp,5000,False,32,NVIDIA GeForce RTX 5090,2.12.0.dev20260408+cu128
25,sqrtG_lr5.657e-05_bs32_gpu2,sqrtG,32,64,10000,2,5.6568542494923805e-05,5000,20.76844233297743,0.30961155656606437,0.5509827864465807,0.35764142653214,0.23236982519682486,0.0974521880887118,0.35562437772750854,3.0,5.0,1.0,3021,42,"StepLR(step_size=1000, gamma=0.7)",ddp,5000,False,32,NVIDIA GeForce RTX 5090,2.12.0.dev20260408+cu128
26,sqrtG_lr2.263e-04_bs512_gpu2,sqrtG,512,1024,10000,2,0.00022627416997969522,5000,20.777534654014744,0.26345527219075165,0.3738299258886365,0.3903059587862628,0.26072385410151555,0.028961349986591816,0.2320679873228073,3.0,5.0,1.0,3021,42,"StepLR(step_size=1000, gamma=0.7)",ddp,5000,False,512,NVIDIA GeForce RTX 5090,2.12.0.dev20260408+cu128
27,linearK_lr2.000e-03_bs64_gpu2,linearK,64,128,10000,2,0.002,5000,20.88970508996863,0.2806249258097779,0.5936751875750281,0.2738399013994776,0.2075215009049936,0.047463113359612265,0.2441011667251587,3.0,5.0,1.0,3021,42,"StepLR(step_size=1000, gamma=0.7)",ddp,5000,False,64,NVIDIA GeForce RTX 5090,2.12.0.dev20260408+cu128
28,linearK_lr2.000e-03_bs2048_gpu2,linearK,2048,4096,10000,2,0.002,5000,20.89214341493789,0.06102345684020979,0.07863885655812207,0.08098684809660261,0.08007523037050188,0.004392892335612578,0.009121110662817955,3.0,5.0,1.0,3021,42,"StepLR(step_size=1000, gamma=0.7)",ddp,5000,False,2048,NVIDIA GeForce RTX 5090,2.12.0.dev20260408+cu128
29,linearK_lr2.000e-03_bs256_gpu2,linearK,256,512,10000,2,0.002,5000,20.927410701988265,0.27737660047657037,0.4626303008968061,0.3571605604897439,0.2537329481698797,0.035982592349851836,0.2623162269592285,3.0,5.0,1.0,3021,42,"StepLR(step_size=1000, gamma=0.7)",ddp,5000,False,256,NVIDIA GeForce RTX 5090,2.12.0.dev20260408+cu128
30,sqrtK_lr1.414e-03_bs256_gpu2,sqrtK,256,512,10000,2,0.0014142135623730952,5000,20.94051899504848,0.23832272299400162,0.34563393378499296,0.3276854274072774,0.26972911182959924,0.010242418954136905,0.05135869234800339,3.0,5.0,1.0,3021,42,"StepLR(step_size=1000, gamma=0.7)",ddp,5000,False,256,NVIDIA GeForce RTX 5090,2.12.0.dev20260408+cu128
31,sqrtK_lr1.414e-03_bs512_gpu2,sqrtK,512,1024,10000,2,0.0014142135623730952,5000,20.946327831945382,0.21968193834729038,0.3683337280334831,0.2663689661477721,0.22474150481945082,0.019283554388455474,0.05893402174115181,3.0,5.0,1.0,3021,42,"StepLR(step_size=1000, gamma=0.7)",ddp,5000,False,512,NVIDIA GeForce RTX 5090,2.12.0.dev20260408+cu128
32,linearG_lr8.192e-04_bs8192_gpu2,linearG,8192,16384,10000,2,0.0008192000000000001,5000,20.969707424053922,0.1643179803739471,0.2219324942250272,0.2162263882042876,0.21269803404540027,0.006415005021073287,0.021028930321335793,3.0,5.0,1.0,3021,42,"StepLR(step_size=1000, gamma=0.7)",ddp,5000,True,5000,NVIDIA GeForce RTX 5090,2.12.0.dev20260408+cu128
33,sqrtG_lr9.051e-04_bs8192_gpu2,sqrtG,8192,16384,10000,2,0.0009050966799187809,5000,20.974855132983066,0.16376797631944542,0.220798126129434,0.21587109153231687,0.21277596777563731,0.0056267198403935886,0.018700815737247467,3.0,5.0,1.0,3021,42,"StepLR(step_size=1000, gamma=0.7)",ddp,5000,True,5000,NVIDIA GeForce RTX 5090,2.12.0.dev20260408+cu128
34,baseline_lr1.000e-03_bs512_gpu2,baseline,512,1024,10000,2,0.001,5000,21.261099184979685,0.042503068345312096,0.06580989525619758,0.04240433549509136,0.05110287444604392,0.01069516818391553,0.033380091190338135,3.0,5.0,1.0,3021,42,"StepLR(step_size=1000, gamma=0.7)",ddp,5000,False,512,NVIDIA GeForce RTX 5090,2.12.0.dev20260408+cu128
35,linearG_lr5.120e-05_bs512_gpu2,linearG,512,1024,10000,2,5.1200000000000004e-05,5000,21.275361486012116,0.2871201787145342,0.493219906185661,0.35091100780797074,0.24914101326647892,0.05520878759802618,0.31463319063186646,3.0,5.0,1.0,3021,42,"StepLR(step_size=1000, gamma=0.7)",ddp,5000,False,512,NVIDIA GeForce RTX 5090,2.12.0.dev20260408+cu128
36,baseline_lr1.000e-03_bs4096_gpu2,baseline,4096,8192,10000,2,0.001,5000,21.28380153805483,0.23173803101941434,0.33157519291323617,0.3204453310291621,0.2669907732055461,0.007940826929713006,0.04281122237443924,3.0,5.0,1.0,3021,42,"StepLR(step_size=1000, gamma=0.7)",ddp,5000,False,4096,NVIDIA GeForce RTX 5090,2.12.0.dev20260408+cu128
37,sqrtK_lr1.414e-03_bs128_gpu2,sqrtK,128,256,10000,2,0.0014142135623730952,5000,21.38967214699369,0.22750578004296157,0.32634422336178676,0.30024704834354454,0.2666625728567048,0.01676927560981024,0.044737085700035095,3.0,5.0,1.0,3021,42,"StepLR(step_size=1000, gamma=0.7)",ddp,5000,False,128,NVIDIA GeForce RTX 5090,2.12.0.dev20260408+cu128
38,baseline_lr1.000e-03_bs8192_gpu2,baseline,8192,16384,10000,2,0.001,5000,21.436054521007463,0.17289864787512937,0.22694370689035362,0.22935151140400642,0.2295515411809798,0.005747832025177646,0.020501501858234406,3.0,5.0,1.0,3021,42,"StepLR(step_size=1000, gamma=0.7)",ddp,5000,True,5000,NVIDIA GeForce RTX 5090,2.12.0.dev20260408+cu128
39,baseline_lr1.000e-03_bs2048_gpu2,baseline,2048,4096,10000,2,0.001,5000,21.495851035928354,0.564790361660437,0.7890748290625368,0.6990616306829706,0.5070770870738036,0.26394789982243677,0.3293027877807617,3.0,5.0,1.0,3021,42,"StepLR(step_size=1000, gamma=0.7)",ddp,5000,False,2048,NVIDIA GeForce RTX 5090,2.12.0.dev20260408+cu128
40,linearK_lr2.000e-03_bs4096_gpu2,linearK,4096,8192,10000,2,0.002,5000,21.516594873042777,0.1634882856826095,0.22234927575571675,0.21466958450048976,0.21096470096493822,0.005969581509293239,0.014313912019133568,3.0,5.0,1.0,3021,42,"StepLR(step_size=1000, gamma=0.7)",ddp,5000,False,4096,NVIDIA GeForce RTX 5090,2.12.0.dev20260408+cu128
41,sqrtG_lr6.400e-04_bs4096_gpu2,sqrtG,4096,8192,10000,2,0.00064,5000,21.520871853921562,0.08704984397884159,0.10968699331818381,0.1117671983925014,0.11738680523589357,0.00935837896878762,0.017578400671482086,3.0,5.0,1.0,3021,42,"StepLR(step_size=1000, gamma=0.7)",ddp,5000,False,4096,NVIDIA GeForce RTX 5090,2.12.0.dev20260408+cu128
42,linearK_lr2.000e-03_bs128_gpu2,linearK,128,256,10000,2,0.002,5000,21.62278930202592,0.1871297037025682,0.31715652467255084,0.17536748192907647,0.22252740073707955,0.033467407471566,0.12425315380096436,3.0,5.0,1.0,3021,42,"StepLR(step_size=1000, gamma=0.7)",ddp,5000,False,128,NVIDIA GeForce RTX 5090,2.12.0.dev20260408+cu128
43,sqrtK_lr1.414e-03_bs2048_gpu2,sqrtK,2048,4096,10000,2,0.0014142135623730952,5000,21.643037558998913,0.18846626104703645,0.29402615588641784,0.23466767975884667,0.21308059891815212,0.01209060962472915,0.034112222492694855,3.0,5.0,1.0,3021,42,"StepLR(step_size=1000, gamma=0.7)",ddp,5000,False,2048,NVIDIA GeForce RTX 5090,2.12.0.dev20260408+cu128
44,linearG_lr4.096e-04_bs4096_gpu2,linearG,4096,8192,10000,2,0.00040960000000000004,5000,21.688735284027644,0.22464371314977308,0.32094879303533963,0.30061810670008127,0.26486424845691764,0.012143704406753688,0.04421484097838402,3.0,5.0,1.0,3021,42,"StepLR(step_size=1000, gamma=0.7)",ddp,5000,False,4096,NVIDIA GeForce RTX 5090,2.12.0.dev20260408+cu128
45,sqrtK_lr1.414e-03_bs4096_gpu2,sqrtK,4096,8192,10000,2,0.0014142135623730952,5000,22.139937412925065,0.15593452419103043,0.20431672001805068,0.20556766602847082,0.2074083832189869,0.0064453274986134195,0.016827479004859924,3.0,5.0,1.0,3021,42,"StepLR(step_size=1000, gamma=0.7)",ddp,5000,False,4096,NVIDIA GeForce RTX 5090,2.12.0.dev20260408+cu128
