rank,model_name,lr_law,batch_size_per_gpu,global_batch_size,n_f,num_gpus,learning_rate,adam_steps,training_time_sec,l2_error,l2_t0.25,l2_t0.5,l2_t0.75,l2_t1.0,final_loss,lambda_f,lambda_ic,lambda_bc,n_parameters,seed,scheduler,grad_sync,local_points,batch_exceeds_local_data,unique_points_per_batch,gpu_name,torch_version
1,sqrtG_lr8.000e-05_bs64_gpu2,sqrtG,64,128,10000,2,8e-05,5000,20.00217775197234,0.285416394294446,0.4887031723890744,0.35021110878857786,0.25016485304441666,0.052586442955714914,0.30400264263153076,3.0,5.0,1.0,3021,42,"StepLR(step_size=1000, gamma=0.7)",ddp,5000,False,64,NVIDIA GeForce RTX 5090,2.12.0.dev20260408+cu128
2,linearG_lr3.200e-06_bs32_gpu2,linearG,32,64,10000,2,3.2000000000000003e-06,5000,20.022074791020714,0.821804897843153,0.8587736710309857,0.8205901380035536,0.8046730168105767,0.803182765527496,0.820859432220459,3.0,5.0,1.0,3021,42,"StepLR(step_size=1000, gamma=0.7)",ddp,5000,False,32,NVIDIA GeForce RTX 5090,2.12.0.dev20260408+cu128
3,sqrtG_lr1.600e-04_bs256_gpu2,sqrtG,256,512,10000,2,0.00016,5000,20.022193709970452,0.2758190769003285,0.4432981908112615,0.36696116132974443,0.2540399212148894,0.03897703424541846,0.28163671493530273,3.0,5.0,1.0,3021,42,"StepLR(step_size=1000, gamma=0.7)",ddp,5000,False,256,NVIDIA GeForce RTX 5090,2.12.0.dev20260408+cu128
4,linearG_lr6.400e-06_bs64_gpu2,linearG,64,128,10000,2,6.4000000000000006e-06,5000,20.042918878025375,0.7631065718630604,0.8146685623481075,0.768386941721896,0.7426914620990561,0.7266793212831822,0.708924412727356,3.0,5.0,1.0,3021,42,"StepLR(step_size=1000, gamma=0.7)",ddp,5000,False,64,NVIDIA GeForce RTX 5090,2.12.0.dev20260408+cu128
5,linearK_lr2.000e-03_bs512_gpu2,linearK,512,1024,10000,2,0.002,5000,20.04631711007096,0.2965416362421298,0.4593580316380283,0.4361444897477569,0.25660080530176743,0.03406321828096654,0.2671946585178375,3.0,5.0,1.0,3021,42,"StepLR(step_size=1000, gamma=0.7)",ddp,5000,False,512,NVIDIA GeForce RTX 5090,2.12.0.dev20260408+cu128
6,sqrtK_lr1.414e-03_bs32_gpu2,sqrtK,32,64,10000,2,0.0014142135623730952,5000,20.0484685159754,0.2172208251233449,0.47464319414365835,0.19927192775996092,0.16349314319263353,0.031475035397126774,0.16766193509101868,3.0,5.0,1.0,3021,42,"StepLR(step_size=1000, gamma=0.7)",ddp,5000,False,32,NVIDIA GeForce RTX 5090,2.12.0.dev20260408+cu128
7,sqrtK_lr1.414e-03_bs8192_gpu2,sqrtK,8192,16384,10000,2,0.0014142135623730952,5000,20.09949037898332,0.061866970324009785,0.07589477446891728,0.0807156276097841,0.08638734263989292,0.004470136577444861,0.008813604712486267,3.0,5.0,1.0,3021,42,"StepLR(step_size=1000, gamma=0.7)",ddp,5000,True,5000,NVIDIA GeForce RTX 5090,2.12.0.dev20260408+cu128
8,linearK_lr2.000e-03_bs1024_gpu2,linearK,1024,2048,10000,2,0.002,5000,20.1003643280128,0.13677809188521878,0.19674216136314968,0.1775741201041728,0.16527063118618612,0.007525454887366455,0.017426196485757828,3.0,5.0,1.0,3021,42,"StepLR(step_size=1000, gamma=0.7)",ddp,5000,False,1024,NVIDIA GeForce RTX 5090,2.12.0.dev20260408+cu128
9,sqrtK_lr1.414e-03_bs1024_gpu2,sqrtK,1024,2048,10000,2,0.0014142135623730952,5000,20.1048359379638,0.06225649311702367,0.08759965177377962,0.0800942914004499,0.07430176377983364,0.007030265514031513,0.011179882101714611,3.0,5.0,1.0,3021,42,"StepLR(step_size=1000, gamma=0.7)",ddp,5000,False,1024,NVIDIA GeForce RTX 5090,2.12.0.dev20260408+cu128
10,baseline_lr1.000e-03_bs64_gpu2,baseline,64,128,10000,2,0.001,5000,20.12724653200712,0.22615718432211354,0.2945737376828439,0.32486200067720233,0.26215154790170936,0.02304145102669863,0.17155569791793823,3.0,5.0,1.0,3021,42,"StepLR(step_size=1000, gamma=0.7)",ddp,5000,False,64,NVIDIA GeForce RTX 5090,2.12.0.dev20260408+cu128
11,baseline_lr1.000e-03_bs128_gpu2,baseline,128,256,10000,2,0.001,5000,20.14460370503366,0.18926227526421893,0.2801735173419026,0.2400502405867719,0.22111892726095636,0.01570641586724488,0.04223596677184105,3.0,5.0,1.0,3021,42,"StepLR(step_size=1000, gamma=0.7)",ddp,5000,False,128,NVIDIA GeForce RTX 5090,2.12.0.dev20260408+cu128
12,linearG_lr2.048e-04_bs2048_gpu2,linearG,2048,4096,10000,2,0.00020480000000000002,5000,20.152160549070686,0.15259565657861146,0.33168743986518523,0.10416169455918202,0.1533190348927371,0.021214456997341435,0.10251878947019577,3.0,5.0,1.0,3021,42,"StepLR(step_size=1000, gamma=0.7)",ddp,5000,False,2048,NVIDIA GeForce RTX 5090,2.12.0.dev20260408+cu128
13,sqrtG_lr1.131e-04_bs128_gpu2,sqrtG,128,256,10000,2,0.00011313708498984761,5000,20.205628577969037,0.2781172271434867,0.4734055519066154,0.3396973629614477,0.24951026287439776,0.04985573083148604,0.31355756521224976,3.0,5.0,1.0,3021,42,"StepLR(step_size=1000, gamma=0.7)",ddp,5000,False,128,NVIDIA GeForce RTX 5090,2.12.0.dev20260408+cu128
14,linearG_lr2.560e-05_bs256_gpu2,linearG,256,512,10000,2,2.5600000000000002e-05,5000,20.208663720986806,0.3688219206090051,0.6326409187778398,0.44858907570872514,0.27386907690685475,0.12018861104260081,0.39468106627464294,3.0,5.0,1.0,3021,42,"StepLR(step_size=1000, gamma=0.7)",ddp,5000,False,256,NVIDIA GeForce RTX 5090,2.12.0.dev20260408+cu128
15,linearK_lr2.000e-03_bs32_gpu2,linearK,32,64,10000,2,0.002,5000,20.29098911001347,0.27353866837549773,0.5256147808551521,0.2629270760095152,0.24383779206721137,0.061775024570111976,0.2424750030040741,3.0,5.0,1.0,3021,42,"StepLR(step_size=1000, gamma=0.7)",ddp,5000,False,32,NVIDIA GeForce RTX 5090,2.12.0.dev20260408+cu128
16,baseline_lr1.000e-03_bs1024_gpu2,baseline,1024,2048,10000,2,0.001,5000,20.296754878014326,0.15598391822374233,0.252989853619043,0.19986846044254913,0.16331012705393624,0.0077672317794409695,0.03443833440542221,3.0,5.0,1.0,3021,42,"StepLR(step_size=1000, gamma=0.7)",ddp,5000,False,1024,NVIDIA GeForce RTX 5090,2.12.0.dev20260408+cu128
17,linearK_lr2.000e-03_bs8192_gpu2,linearK,8192,16384,10000,2,0.002,5000,20.33571358595509,0.057790594507249965,0.07209493357189023,0.07622935840059915,0.07965272792262179,0.003185358133888699,0.006937908940017223,3.0,5.0,1.0,3021,42,"StepLR(step_size=1000, gamma=0.7)",ddp,5000,True,5000,NVIDIA GeForce RTX 5090,2.12.0.dev20260408+cu128
18,sqrtG_lr3.200e-04_bs1024_gpu2,sqrtG,1024,2048,10000,2,0.00032,5000,20.391340830014087,0.1217543906666288,0.14827181124406083,0.15654379936496587,0.1639797278353964,0.018222224222092066,0.04889420047402382,3.0,5.0,1.0,3021,42,"StepLR(step_size=1000, gamma=0.7)",ddp,5000,False,1024,NVIDIA GeForce RTX 5090,2.12.0.dev20260408+cu128
