model_name,lr_law,batch_size_per_gpu,global_batch_size,n_f,num_gpus,learning_rate,adam_steps,training_time_sec,l2_error,l2_t0.25,l2_t0.5,l2_t0.75,l2_t1.0,final_loss,lambda_f,lambda_ic,lambda_bc,n_parameters,seed,scheduler,grad_sync,local_points,batch_exceeds_local_data,unique_points_per_batch,gpu_name,torch_version,l2_100t,l2_100t_std,l2_norm,l2_mean,l_inf,mass_balance_rel_mean,mass_balance_rel_final,mass_balance_mean,mass_balance_max,mass_t0
linearK_lr2.000e-03_bs64_gpu2,linearK,64,128,10000,2,0.002,5000,20.88970508996863,0.2806249258097779,0.5936751875750281,0.2738399013994776,0.2075215009049936,0.047463113359612265,0.2441011667251587,3.0,5.0,1.0,3021,42,"StepLR(step_size=1000, gamma=0.7)",ddp,5000,False,64,NVIDIA GeForce RTX 5090,2.12.0.dev20260408+cu128,3.731583e-01,2.859506e-01,2.887547e-01,3.731583e-01,7.424783e-01,1.119259e-01,6.893430e-02,5.040360e-02,7.032272e-02,1.150935e-01
linearK_lr2.000e-03_bs128_gpu2,linearK,128,256,10000,2,0.002,5000,21.62278930202592,0.1871297037025682,0.31715652467255084,0.17536748192907647,0.22252740073707955,0.033467407471566,0.12425315380096436,3.0,5.0,1.0,3021,42,"StepLR(step_size=1000, gamma=0.7)",ddp,5000,False,128,NVIDIA GeForce RTX 5090,2.12.0.dev20260408+cu128,2.754285e-01,2.409771e-01,2.092790e-01,2.754285e-01,8.456770e-01,4.963806e-02,2.423270e-02,2.084920e-02,2.657689e-02,7.834703e-02
linearK_lr2.000e-03_bs256_gpu2,linearK,256,512,10000,2,0.002,5000,20.927410701988265,0.27737660047657037,0.4626303008968061,0.3571605604897439,0.2537329481698797,0.035982592349851836,0.2623162269592285,3.0,5.0,1.0,3021,42,"StepLR(step_size=1000, gamma=0.7)",ddp,5000,False,256,NVIDIA GeForce RTX 5090,2.12.0.dev20260408+cu128,3.915365e-01,2.826489e-01,3.117012e-01,3.915366e-01,6.990732e-01,1.276472e-01,7.194045e-02,5.575353e-02,7.312591e-02,1.443359e-01
linearK_lr2.000e-03_bs512_gpu2,linearK,512,1024,10000,2,0.002,5000,20.04631711007096,0.2965416362421298,0.4593580316380283,0.4361444897477569,0.25660080530176743,0.03406321828096654,0.2671946585178375,3.0,5.0,1.0,3021,42,"StepLR(step_size=1000, gamma=0.7)",ddp,5000,False,512,NVIDIA GeForce RTX 5090,2.12.0.dev20260408+cu128,4.133224e-01,2.849329e-01,3.393952e-01,4.133224e-01,6.829296e-01,1.313068e-01,6.791868e-02,5.636635e-02,7.370032e-02,1.526265e-01
linearK_lr2.000e-03_bs1024_gpu2,linearK,1024,2048,10000,2,0.002,5000,20.1003643280128,0.13677809188521878,0.19674216136314968,0.1775741201041728,0.16527063118618612,0.007525454887366455,0.017426196485757828,3.0,5.0,1.0,3021,42,"StepLR(step_size=1000, gamma=0.7)",ddp,5000,False,1024,NVIDIA GeForce RTX 5090,2.12.0.dev20260408+cu128,1.608575e-01,8.020886e-02,1.486354e-01,1.608575e-01,6.888426e-01,2.462913e-02,1.382821e-02,1.052929e-02,1.393974e-02,1.947759e-02
linearK_lr2.000e-03_bs2048_gpu2,linearK,2048,4096,10000,2,0.002,5000,20.89214341493789,0.06102345684020979,0.07863885655812207,0.08098684809660261,0.08007523037050188,0.004392892335612578,0.009121110662817955,3.0,5.0,1.0,3021,42,"StepLR(step_size=1000, gamma=0.7)",ddp,5000,False,2048,NVIDIA GeForce RTX 5090,2.12.0.dev20260408+cu128,8.011086e-02,5.068990e-02,7.216736e-02,8.011087e-02,6.445172e-01,6.084909e-03,4.066027e-03,2.589049e-03,4.066027e-03,5.126629e-03
linearK_lr2.000e-03_bs4096_gpu2,linearK,4096,8192,10000,2,0.002,5000,21.516594873042777,0.1634882856826095,0.22234927575571675,0.21466958450048976,0.21096470096493822,0.005969581509293239,0.014313912019133568,3.0,5.0,1.0,3021,42,"StepLR(step_size=1000, gamma=0.7)",ddp,5000,False,4096,NVIDIA GeForce RTX 5090,2.12.0.dev20260408+cu128,1.832938e-01,8.880752e-02,1.763963e-01,1.832938e-01,6.956530e-01,2.820173e-02,1.646333e-02,1.227469e-02,1.700318e-02,2.836224e-02
linearK_lr2.000e-03_bs8192_gpu2,linearK,8192,16384,10000,2,0.002,5000,20.33571358595509,0.057790594507249965,0.07209493357189023,0.07622935840059915,0.07965272792262179,0.003185358133888699,0.006937908940017223,3.0,5.0,1.0,3021,42,"StepLR(step_size=1000, gamma=0.7)",ddp,5000,True,5000,NVIDIA GeForce RTX 5090,2.12.0.dev20260408+cu128,7.687783e-02,5.141824e-02,6.962317e-02,7.687785e-02,6.449516e-01,6.086883e-03,4.352827e-03,2.898166e-03,4.916577e-03,4.747269e-03
sqrtK_lr1.414e-03_bs32_gpu2,sqrtK,32,64,10000,2,0.0014142135623730952,5000,20.0484685159754,0.2172208251233449,0.47464319414365835,0.19927192775996092,0.16349314319263353,0.031475035397126774,0.16766193509101868,3.0,5.0,1.0,3021,42,"StepLR(step_size=1000, gamma=0.7)",ddp,5000,False,32,NVIDIA GeForce RTX 5090,2.12.0.dev20260408+cu128,3.213031e-01,2.845716e-01,2.441044e-01,3.213031e-01,8.573916e-01,1.031205e-01,7.085098e-02,4.799522e-02,7.085098e-02,7.395809e-02
sqrtK_lr1.414e-03_bs64_gpu2,sqrtK,64,128,10000,2,0.0014142135623730952,5000,20.735939621110447,0.3429748480827762,0.6003000844771091,0.40889606310265053,0.2525231052074713,0.11018013954387372,0.3412782549858093,3.0,5.0,1.0,3021,42,"StepLR(step_size=1000, gamma=0.7)",ddp,5000,False,64,NVIDIA GeForce RTX 5090,2.12.0.dev20260408+cu128,4.429971e-01,2.538952e-01,3.535914e-01,4.429971e-01,7.233101e-01,1.161328e-01,7.627630e-02,5.131111e-02,7.627630e-02,1.250394e-01
sqrtK_lr1.414e-03_bs128_gpu2,sqrtK,128,256,10000,2,0.0014142135623730952,5000,21.38967214699369,0.22750578004296157,0.32634422336178676,0.30024704834354454,0.2666625728567048,0.01676927560981024,0.044737085700035095,3.0,5.0,1.0,3021,42,"StepLR(step_size=1000, gamma=0.7)",ddp,5000,False,128,NVIDIA GeForce RTX 5090,2.12.0.dev20260408+cu128,2.653176e-01,1.350258e-01,2.423974e-01,2.653176e-01,7.027341e-01,5.567246e-02,3.241668e-02,2.454006e-02,3.241668e-02,5.241535e-02
sqrtK_lr1.414e-03_bs256_gpu2,sqrtK,256,512,10000,2,0.0014142135623730952,5000,20.94051899504848,0.23832272299400162,0.34563393378499296,0.3276854274072774,0.26972911182959924,0.010242418954136905,0.05135869234800339,3.0,5.0,1.0,3021,42,"StepLR(step_size=1000, gamma=0.7)",ddp,5000,False,256,NVIDIA GeForce RTX 5090,2.12.0.dev20260408+cu128,2.788741e-01,1.427406e-01,2.597324e-01,2.788741e-01,7.044436e-01,6.533848e-02,3.895927e-02,2.877370e-02,3.895927e-02,6.139055e-02
sqrtK_lr1.414e-03_bs512_gpu2,sqrtK,512,1024,10000,2,0.0014142135623730952,5000,20.946327831945382,0.21968193834729038,0.3683337280334831,0.2663689661477721,0.22474150481945082,0.019283554388455474,0.05893402174115181,3.0,5.0,1.0,3021,42,"StepLR(step_size=1000, gamma=0.7)",ddp,5000,False,512,NVIDIA GeForce RTX 5090,2.12.0.dev20260408+cu128,3.107095e-01,2.140002e-01,2.463956e-01,3.107095e-01,9.948785e-01,2.891700e-03,7.572858e-04,9.379911e-04,1.677082e-03,-4.497391e-03
sqrtK_lr1.414e-03_bs1024_gpu2,sqrtK,1024,2048,10000,2,0.0014142135623730952,5000,20.1048359379638,0.06225649311702367,0.08759965177377962,0.0800942914004499,0.07430176377983364,0.007030265514031513,0.011179882101714611,3.0,5.0,1.0,3021,42,"StepLR(step_size=1000, gamma=0.7)",ddp,5000,False,1024,NVIDIA GeForce RTX 5090,2.12.0.dev20260408+cu128,8.363740e-02,5.420560e-02,7.209182e-02,8.363738e-02,6.383393e-01,7.996848e-03,5.374714e-03,3.198891e-03,5.374714e-03,4.913964e-03
sqrtK_lr1.414e-03_bs2048_gpu2,sqrtK,2048,4096,10000,2,0.0014142135623730952,5000,21.643037558998913,0.18846626104703645,0.29402615588641784,0.23466767975884667,0.21308059891815212,0.01209060962472915,0.034112222492694855,3.0,5.0,1.0,3021,42,"StepLR(step_size=1000, gamma=0.7)",ddp,5000,False,2048,NVIDIA GeForce RTX 5090,2.12.0.dev20260408+cu128,2.593625e-01,1.741714e-01,2.117212e-01,2.593625e-01,1.007858e+00,1.206711e-02,6.941705e-03,5.405726e-03,7.900966e-03,-1.420522e-02
sqrtK_lr1.414e-03_bs4096_gpu2,sqrtK,4096,8192,10000,2,0.0014142135623730952,5000,22.139937412925065,0.15593452419103043,0.20431672001805068,0.20556766602847082,0.2074083832189869,0.0064453274986134195,0.016827479004859924,3.0,5.0,1.0,3021,42,"StepLR(step_size=1000, gamma=0.7)",ddp,5000,False,4096,NVIDIA GeForce RTX 5090,2.12.0.dev20260408+cu128,1.750879e-01,8.481087e-02,1.695203e-01,1.750880e-01,6.955063e-01,3.048297e-02,1.913193e-02,1.341055e-02,1.913193e-02,2.837156e-02
sqrtK_lr1.414e-03_bs8192_gpu2,sqrtK,8192,16384,10000,2,0.0014142135623730952,5000,20.09949037898332,0.061866970324009785,0.07589477446891728,0.0807156276097841,0.08638734263989292,0.004470136577444861,0.008813604712486267,3.0,5.0,1.0,3021,42,"StepLR(step_size=1000, gamma=0.7)",ddp,5000,True,5000,NVIDIA GeForce RTX 5090,2.12.0.dev20260408+cu128,8.121641e-02,5.168148e-02,7.369463e-02,8.121642e-02,6.512126e-01,7.443871e-03,6.459581e-03,3.342959e-03,6.459581e-03,5.502228e-03
