model_name,lr_law,batch_size_per_gpu,global_batch_size,n_f,num_gpus,learning_rate,adam_steps,lbfgs_iterations,lbfgs_closure_calls,time_adam,time_lbfgs,time_total,l2_norm,l2_mean,l_inf,mass_balance_rel_mean,mass_balance_rel_final,mass_balance_mean,mass_balance_max,mass_t0,loss_after_adam,loss_after_lbfgs,after_adam_l2_norm,after_adam_l2_mean,after_adam_l_inf,after_adam_mass_balance_rel_mean,after_adam_mass_balance_rel_final,after_adam_mass_balance_mean,after_adam_mass_balance_max,after_adam_mass_t0,after_lbfgs_l2_norm,after_lbfgs_l2_mean,after_lbfgs_l_inf,after_lbfgs_mass_balance_rel_mean,after_lbfgs_mass_balance_rel_final,after_lbfgs_mass_balance_mean,after_lbfgs_mass_balance_max,after_lbfgs_mass_t0
baseline_lr1.000e-03_bs32_gpu2,baseline,32,64,10000,2,0.001,15000,5436,5992,62.581550452974625,504.37646714696893,566.9580175999436,8.746992e-02,1.042701e-01,6.484063e-01,1.640901e-02,6.299808e-03,6.342326e-03,6.537260e-03,1.010869e-04,0.019248105585575104,2.8057112345266635e-06,0.31228271685504944,0.35010099432077174,0.708938479423523,0.0559536360242523,0.033150993152522235,0.024582159717282254,0.033150993152522235,0.10234728340059518,0.08746991677943375,0.10427008511062934,0.648406303770435,0.016409007305315172,0.006299807946305691,0.00634232613575169,0.006537259729975986,0.00010108688972855593
baseline_lr1.000e-03_bs64_gpu2,baseline,64,128,10000,2,0.001,15000,3693,4063,61.11322417500196,341.0531349670491,402.1663591420511,6.159740e-02,6.882957e-02,6.108847e-01,6.034835e-03,2.244546e-03,2.328364e-03,2.717074e-03,-1.278105e-05,0.013842537067830563,2.311358615526658e-06,0.2754969679366168,0.298050487671068,0.7084139585494995,0.04877006034238165,0.03282292891351957,0.02210048640243767,0.03282292891351957,0.08041931224055587,0.06159740373614441,0.06882956756333977,0.6108846724176079,0.006034834991923199,0.0022445461051632254,0.00232836378105941,0.0027170735202446377,-1.278104791369951e-05
baseline_lr1.000e-03_bs128_gpu2,baseline,128,256,10000,2,0.001,15000,14204,25000,59.63009512796998,2074.2137617960107,2133.8438569239806,6.425764e-02,7.228185e-02,6.172182e-01,2.858674e-03,1.143134e-03,1.118205e-03,1.251452e-03,3.332195e-04,0.08600244671106339,7.693325358995072e-06,0.4146866129336401,0.5033466363102965,0.6946229934692383,0.07855873317933393,0.040762747805565214,0.03287629911778488,0.04135442176833759,0.2185624296963215,0.06425763503709402,0.07228185191262321,0.6172181924595648,0.0028586736013746974,0.0011431340175105387,0.0011182050230896206,0.0012514522319905241,0.0003332194841678891
baseline_lr1.000e-03_bs256_gpu2,baseline,256,512,10000,2,0.001,15000,4498,5148,62.37771984701976,431.76872444100445,494.1464442880242,6.257947e-02,6.926769e-02,6.155242e-01,6.475763e-03,2.486884e-03,2.499772e-03,2.737202e-03,2.346863e-04,0.006741314195096493,5.42491317468313e-06,0.1746333691965195,0.1833399103548204,0.6971911787986755,0.019331395116977304,0.014533711168187358,0.008637287840458896,0.014533711168187358,0.03420091086067259,0.06257946891260749,0.0692676872041099,0.6155241731289074,0.006475763207188722,0.0024868843839238597,0.0024997718981900276,0.0027372016148299993,0.0002346862667229884
baseline_lr1.000e-03_bs512_gpu2,baseline,512,1024,10000,2,0.001,15000,4998,5439,61.08288389904192,457.12908324500313,518.211967144045,6.274601e-02,7.005258e-02,6.149178e-01,5.761209e-03,2.194233e-03,2.230154e-03,2.429503e-03,1.127290e-04,0.009730065241456032,1.9656909651914674e-06,0.2039416205432258,0.2042678195900025,0.7765232168130874,0.017780927441595592,0.010068106863763693,0.0085301147982157,0.013332574278465237,-0.04294620847329497,0.06274600863208103,0.07005257846006398,0.6149178215163369,0.0057612088546082334,0.0021942332044403434,0.002230154064094226,0.002429503090144114,0.00011272896382956974
baseline_lr1.000e-03_bs1024_gpu2,baseline,1024,2048,10000,2,0.001,15000,4894,5358,61.043312940979376,450.0121885520057,511.05550149298506,7.445805e-02,8.505121e-02,6.337672e-01,1.030456e-02,3.986286e-03,3.969302e-03,4.145782e-03,2.121851e-04,0.005352949723601341,4.241001106365997e-06,0.17392748349576564,0.18854640825403948,0.6954717636108398,0.014987014642688765,0.009531150461115856,0.006757273796654746,0.009531150461115856,0.030143660940229893,0.07445805093636942,0.0850512073791452,0.633767168451624,0.010304560502603888,0.003986285762496822,0.003969302350324549,0.004145781851605079,0.00021218507574819162
baseline_lr1.000e-03_bs2048_gpu2,baseline,2048,4096,10000,2,0.001,15000,9024,10007,60.23933878802927,840.5590540029807,900.79839279101,7.728835e-02,9.031139e-02,6.366216e-01,5.873448e-03,2.246246e-03,2.267341e-03,2.474147e-03,1.024224e-04,0.010573511011898518,4.473610250685586e-06,0.26150547063796464,0.28545840152897617,0.7074064612388611,0.0392434799727246,0.02311942851461879,0.01752600527759921,0.024061427547712677,0.06915442615747452,0.0772883485061481,0.0903113930044191,0.6366216085962495,0.00587344836112196,0.002246246190160117,0.00226734126276216,0.0024741466093787245,0.0001024224449485413
baseline_lr1.000e-03_bs4096_gpu2,baseline,4096,8192,10000,2,0.001,15000,4338,4760,61.521261396002956,400.252396882046,461.77365827804897,6.569304e-02,7.412915e-02,6.189602e-01,6.624915e-03,2.512950e-03,2.569804e-03,2.861515e-03,4.094883e-05,0.0034533613361418247,3.3923117073257836e-06,0.17611991756140227,0.1817382860502601,0.6929001808166504,0.017284759859829264,0.01151825275854268,0.007896794942536001,0.01151825275854268,0.031636974029242995,0.06569304116951194,0.07412914584680581,0.6189602142044415,0.006624914564324161,0.002512949687975108,0.002569804363719658,0.0028615154093357686,4.094883290999511e-05
linearK_lr2.000e-03_bs32_gpu2,linearK,32,64,10000,2,0.002,15000,4657,5477,63.69338421802968,458.86305543000344,522.5564396480331,6.261556e-02,6.939574e-02,6.145224e-01,6.061888e-03,2.349433e-03,2.361625e-03,2.836324e-03,2.237484e-04,0.018184345215559006,1.010891623678856e-05,0.25753009292330176,0.2784553056205363,0.7063360214233398,0.04224097934414644,0.02490240211249306,0.018280796249158446,0.02490240211249306,0.06994362384080888,0.06261555944692761,0.06939574315186348,0.6145224231833327,0.006061887751873259,0.0023494327864942433,0.0023616250386640685,0.002836324124991827,0.00022374841648277412
linearK_lr2.000e-03_bs64_gpu2,linearK,64,128,10000,2,0.002,15000,3537,4042,61.85385869804304,339.49548038101057,401.3493390790536,7.215239e-02,8.302887e-02,6.291725e-01,7.983374e-03,3.131070e-03,3.088764e-03,3.260949e-03,-6.542231e-05,0.019040733575820923,2.648611514421518e-06,0.2776671026380117,0.30218012499012614,0.7081784009933472,0.04398237449359124,0.029287109582218807,0.02011497422012309,0.029287109582218807,0.08197656514123082,0.07215239029116817,0.08302887324475583,0.6291724886624411,0.007983373974760316,0.0031310696977473462,0.003088764245802751,0.003260949008624836,-6.542231385323536e-05
linearK_lr2.000e-03_bs128_gpu2,linearK,128,256,10000,2,0.002,15000,4189,4903,62.75917485001264,410.91792304004775,473.6770978900604,6.502880e-02,7.348606e-02,6.187640e-01,2.961632e-03,1.179722e-03,1.160234e-03,1.266323e-03,3.378100e-04,0.059757791459560394,3.6523284191695095e-06,0.4187731624401499,0.49592163325229194,0.7023714780807495,0.09827248597680337,0.05213417342398341,0.0419989252548432,0.052617837660945854,0.19276853683404624,0.06502879783619983,0.07348606150468141,0.6187639571702223,0.002961632025657452,0.0011797215888721402,0.0011602342676585251,0.0012663234777097378,0.00033781004470432045
linearK_lr2.000e-03_bs256_gpu2,linearK,256,512,10000,2,0.002,15000,4103,4815,62.60351261502365,403.6143956060405,466.21790822106414,6.268721e-02,6.876800e-02,6.174492e-01,6.628170e-03,2.714892e-03,2.605045e-03,2.824372e-03,3.398458e-04,0.004986673593521118,1.4030072911607356e-05,0.13360129039691374,0.14660023904497743,0.6897811889648438,0.007494616865782136,0.006386511378659976,0.00364906734803718,0.006386511378659976,0.01793322093784809,0.06268721124850639,0.06876800300461647,0.6174491612146726,0.006628170413737366,0.002714892497565624,0.00260504459640198,0.002824372087783966,0.00033984579320349363
linearK_lr2.000e-03_bs512_gpu2,linearK,512,1024,10000,2,0.002,15000,5681,6517,61.7761421809555,546.5872676309664,608.3634098119219,6.796964e-02,7.697401e-02,6.242722e-01,3.359440e-03,1.369696e-03,1.312602e-03,1.546825e-03,2.835522e-04,0.046781644225120544,2.831659404646895e-06,0.25768339979482413,0.2976324445628153,0.7444199919700623,0.05100094002575652,0.037422620801953355,0.023899543371068952,0.037422620801953355,0.1047479727305472,0.06796964198359769,0.07697401437034801,0.6242722055848693,0.0033594404852030765,0.0013696956726322318,0.001312601670307261,0.0015468251850967452,0.0002835521618658052
linearK_lr2.000e-03_bs1024_gpu2,linearK,1024,2048,10000,2,0.002,15000,1451,1638,62.58945289597614,137.32684776798123,199.91630066395737,5.897098e-02,6.532552e-02,6.064848e-01,4.199424e-03,1.561860e-03,1.604106e-03,2.202140e-03,1.545915e-04,0.001895599765703082,6.501179879512565e-06,0.07856805947911186,0.08615965815274881,0.6466675400733948,0.0007853362661202657,0.0009404250639855061,0.0003214709035114614,0.0009404250639855061,0.004606199748814105,0.05897098431859769,0.06532552167374599,0.6064847514257313,0.0041994235235469565,0.0015618601337071825,0.0016041055130736933,0.0022021395207748543,0.00015459154112084923
linearK_lr2.000e-03_bs2048_gpu2,linearK,2048,4096,10000,2,0.002,15000,4915,5270,61.82282907399349,444.0758224380552,505.8986515120487,6.494802e-02,7.299645e-02,6.188171e-01,5.796251e-03,2.264216e-03,2.248803e-03,2.498279e-03,8.651593e-05,0.0011512989876791835,1.4729915995911822e-06,0.07758147837745767,0.08502600420252614,0.6460704803466797,0.0008443076783372839,0.0007743805553389604,0.00032081982956222747,0.0007743805553389604,0.004335768632590771,0.06494801956951637,0.07299645273193593,0.618817065530337,0.0057962509344557725,0.002264215626810673,0.0022488032801460302,0.0024982794009882348,8.65159267822059e-05
linearK_lr2.000e-03_bs4096_gpu2,linearK,4096,8192,10000,2,0.002,15000,1784,1921,63.37921797099989,161.59454005100997,224.97375802200986,6.169369e-02,6.898956e-02,6.119233e-01,5.153650e-03,1.951380e-03,2.003486e-03,2.248715e-03,3.910810e-05,0.0006110229878686368,2.4831210606184257e-06,0.08163279989265976,0.08867329896867907,0.6505258083343506,0.0010144067997980234,0.0011667755198733198,0.0005781322185789994,0.0012532152933134588,0.004459847835823893,0.06169369181798744,0.06898956282323085,0.611923334604236,0.005153649705311701,0.0019513795544248147,0.0020034862819772467,0.0022487147118334105,3.910809732149312e-05
sqrtK_lr1.414e-03_bs32_gpu2,sqrtK,32,64,10000,2,0.0014142135623730952,15000,6749,9105,62.30788646300789,760.5738644240191,822.881750887027,7.833349e-02,9.065118e-02,6.394167e-01,2.730141e-03,1.176065e-03,1.046165e-03,1.192763e-03,6.009986e-04,0.06356565654277802,9.943396471709892e-06,0.42804156588082115,0.5116043308908533,0.708786129951477,0.10147172484158797,0.05505665951641281,0.04318761234487175,0.05505665951641281,0.20157501567155123,0.07833348517489702,0.09065117913687835,0.6394166503825154,0.002730140825371288,0.0011760650236093406,0.0010461654403614616,0.0011927629425193542,0.0006009985734533708
sqrtK_lr1.414e-03_bs64_gpu2,sqrtK,64,128,10000,2,0.0014142135623730952,15000,4100,4681,61.839002680033445,392.55555648502195,454.3945591650554,6.551721e-02,7.361801e-02,6.203465e-01,7.624453e-03,3.019377e-03,2.959603e-03,3.169699e-03,5.911440e-05,0.013734692707657814,3.2672660498393732e-06,0.23446850977129885,0.250279411000557,0.7096317410469055,0.034187677810304726,0.02254661753162479,0.015037571579338634,0.02254661753162479,0.05813457306474447,0.06551720787947259,0.0736180069409794,0.6203465154511371,0.007624453072822582,0.003019376784671235,0.0029596026268696933,0.0031696990646712386,5.9114401444724106e-05
sqrtK_lr1.414e-03_bs128_gpu2,sqrtK,128,256,10000,2,0.0014142135623730952,15000,3864,5067,61.54324486898258,423.30868477904005,484.85192964802263,6.075581e-02,6.715172e-02,6.119538e-01,6.186995e-03,2.406340e-03,2.406127e-03,2.653201e-03,-1.073383e-04,0.007005707360804081,2.285133249061908e-05,0.10556077811211363,0.12396143454180805,0.6768407821655273,0.00485354978538516,0.007055895500996723,0.0023332032163046685,0.007055895500996723,0.009554582480341196,0.060755805520887544,0.06715171876813081,0.6119537667833375,0.0061869953987937504,0.002406339867956353,0.0024061265271029765,0.0026532010452727187,-0.00010733830770265254
sqrtK_lr1.414e-03_bs256_gpu2,sqrtK,256,512,10000,2,0.0014142135623730952,15000,20000,23818,62.856593542033806,1995.6700973570114,2058.526690899045,2.058542e-01,2.552749e-01,8.228123e-01,1.164630e-01,4.407538e-02,4.323645e-02,5.068163e-02,4.534059e-03,0.0598222017288208,0.0004933462634872327,0.1800452881354387,0.24297989932396175,0.8875654637813568,0.022199702575537317,0.017180898772931275,0.010559839042477783,0.017180898772931275,0.04864067856222391,0.20585423526386298,0.25527491269267705,0.8228122905855703,0.11646297393731458,0.04407537664768513,0.043236454767306365,0.050681632512795186,0.004534059108988377
sqrtK_lr1.414e-03_bs512_gpu2,sqrtK,512,1024,10000,2,0.0014142135623730952,15000,4748,5743,60.00291090802057,480.8698223910178,540.8727332990384,5.743617e-02,6.441799e-02,6.020151e-01,7.209960e-03,2.920735e-03,2.809192e-03,2.920735e-03,4.861292e-04,0.02265939489006996,5.280255233687024e-06,0.3330070553231409,0.37502615826635344,0.703541100025177,0.06611290881614436,0.03985134967253545,0.029048925538093268,0.03985134967253545,0.11374310807324947,0.05743617181789691,0.06441799134878053,0.6020151208567197,0.007209959503047658,0.0029207353935466474,0.0028091919378141882,0.0029207353935466474,0.0004861291861649363
sqrtK_lr1.414e-03_bs1024_gpu2,sqrtK,1024,2048,10000,2,0.0014142135623730952,15000,2268,2570,62.94849023700226,215.75374214095064,278.7022323779529,6.564888e-02,7.231879e-02,6.219667e-01,6.123432e-03,2.288899e-03,2.379818e-03,2.597625e-03,6.676324e-04,0.002943560481071472,1.1805950371670544e-05,0.06383794488918658,0.06699354849934314,0.719665908581117,0.0026694209053312007,0.0022062880299928977,0.0014925104675407518,0.0028734473156152296,-0.010183838661760092,0.06564888493861806,0.07231879337230748,0.6219666963847038,0.006123432376338875,0.002288898527643801,0.0023798181942656176,0.002597625289835981,0.000667632435326814
sqrtK_lr1.414e-03_bs2048_gpu2,sqrtK,2048,4096,10000,2,0.0014142135623730952,15000,5102,5565,62.40484534500865,467.9159531049663,530.320798449975,6.227262e-02,6.932270e-02,6.142977e-01,6.176212e-03,2.345638e-03,2.393808e-03,2.642363e-03,4.655168e-05,0.013324137777090073,2.3072114918692036e-06,0.27388682301483924,0.2953904850330244,0.7053487300872803,0.051694365607130185,0.03087783672439426,0.02305427076873328,0.031261209217482544,0.0745845071785152,0.06227262414457254,0.06932269827912496,0.614297655211389,0.0061762116434835364,0.002345638184037546,0.0023938079301302115,0.0026423626398414113,4.655168372172443e-05
sqrtK_lr1.414e-03_bs4096_gpu2,sqrtK,4096,8192,10000,2,0.0014142135623730952,15000,7237,12016,62.879996281990316,998.4335915469564,1061.3135878289468,6.393429e-02,7.159680e-02,6.164205e-01,6.424972e-03,2.426777e-03,2.480217e-03,2.684767e-03,3.301877e-05,0.0015557848382741213,4.3958971179902155e-06,0.09746995113320667,0.10446588950531187,0.6692522168159485,0.0025268939955341344,0.0022759809185118884,0.0012327012855486358,0.0022759809185118884,0.008348824288696051,0.06393429422037811,0.07159680323534054,0.6164205314622203,0.006424971736756056,0.0024267769193492272,0.0024802168809981485,0.00268476656654304,3.3018768684351144e-05
