model_name,lr_law,batch_size_per_gpu,global_batch_size,n_f,num_gpus,learning_rate,adam_steps,lbfgs_iterations,lbfgs_closure_calls,time_adam,time_lbfgs,time_total,l2_norm,l2_mean,l_inf,mass_balance_rel_mean,mass_balance_rel_final,mass_balance_mean,mass_balance_max,mass_t0,loss_after_adam,loss_after_lbfgs,after_adam_l2_norm,after_adam_l2_mean,after_adam_l_inf,after_adam_mass_balance_rel_mean,after_adam_mass_balance_rel_final,after_adam_mass_balance_mean,after_adam_mass_balance_max,after_adam_mass_t0,after_lbfgs_l2_norm,after_lbfgs_l2_mean,after_lbfgs_l_inf,after_lbfgs_mass_balance_rel_mean,after_lbfgs_mass_balance_rel_final,after_lbfgs_mass_balance_mean,after_lbfgs_mass_balance_max,after_lbfgs_mass_t0
linearK_lr2.000e-03_bs128_gpu2,linearK,128,256,10000,2,0.002,5000,5455,6370,21.114521010022145,534.2008801180054,555.3154011280276,7.012466e-02,8.001958e-02,6.267709e-01,4.552682e-03,1.733475e-03,1.759424e-03,1.986791e-03,2.377209e-04,0.08166062831878662,3.7501517758577803e-06,0.43224254501120457,0.5175008519910187,0.7152300477027893,0.11796299294776877,0.07218679727986421,0.05127220860389043,0.07218679727986421,0.20787530751898886,0.07012465658730807,0.08001958416681054,0.6267709399128865,0.004552681664290596,0.0017334749882482736,0.0017594241292583634,0.001986790630590596,0.0002377209116143283
linearK_lr2.000e-03_bs256_gpu2,linearK,256,512,10000,2,0.002,5000,3859,4573,19.862654576951172,383.1201660769875,402.9828206539387,6.230828e-02,6.874614e-02,6.151216e-01,5.655108e-03,2.316912e-03,2.234590e-03,2.746658e-03,2.805750e-04,0.018533363938331604,1.611406141016459e-05,0.14009040021102326,0.1542440247911141,0.6878911286995519,0.001474433190250774,0.00035034383079635134,0.00039223391046329105,0.0010438432816591847,0.036653202250599856,0.062308281310814465,0.06874613769036145,0.6151215959957088,0.005655107911622669,0.002316912470847754,0.002234590288609526,0.0027466579598024194,0.00028057501849798865
linearK_lr2.000e-03_bs512_gpu2,linearK,512,1024,10000,2,0.002,5000,9834,14971,20.0567642209935,1246.2665677450132,1266.3233319660067,1.089540e-01,1.344780e-01,8.221627e-01,3.374180e-02,1.312301e-02,1.306511e-02,1.320584e-02,3.013439e-05,0.05459771305322647,1.829243306448116e-05,0.4027359508141229,0.4741819733869515,0.7245778441429138,0.08790184573988889,0.05257338337600237,0.038731310703139815,0.05257338337600237,0.18040692986920476,0.10895401674081794,0.13447800169195856,0.8221627238651891,0.0337417976789792,0.013123012267092116,0.013065112978757372,0.013205843488057645,3.0134386154983566e-05
linearK_lr2.000e-03_bs1024_gpu2,linearK,1024,2048,10000,2,0.002,5000,4537,6122,20.41173065500334,511.04019384499406,531.4519244999974,5.929641e-02,6.577007e-02,6.066866e-01,4.758401e-03,1.730083e-03,1.826653e-03,2.345619e-03,5.433964e-08,0.007889855653047562,5.43676777392524e-06,0.1572019031752411,0.16443499681642204,0.6989359855651855,0.01242773525788132,0.009530010180169524,0.005848117047626066,0.009530010180169524,0.030553950564935803,0.05929640584535078,0.06577006747855511,0.6066866388343296,0.004758400512063245,0.0017300825248462992,0.0018266527972355395,0.002345618853808176,5.4339641178932074e-08
linearK_lr2.000e-03_bs2048_gpu2,linearK,2048,4096,10000,2,0.002,5000,3233,3464,20.47734523296822,291.67512093897676,312.152466171945,6.423365e-02,7.214536e-02,6.168088e-01,6.023440e-03,2.300240e-03,2.327287e-03,2.542232e-03,5.613084e-05,0.00298385345377028,2.1814851288419885e-06,0.09817947834616036,0.10648267734259971,0.6668527722358704,0.005679782625482153,0.003490113828186203,0.0025277718378160573,0.0035040832197704708,0.007809280036017298,0.06423364796662205,0.07214535767633062,0.616808840086293,0.00602343961249086,0.002300240003985432,0.0023272874554655927,0.0025422320785047914,5.613083702788367e-05
linearK_lr2.000e-03_bs4096_gpu2,linearK,4096,8192,10000,2,0.002,5000,3589,3968,20.028507382958196,333.26954149099765,353.29804887395585,6.025503e-02,6.709463e-02,6.092203e-01,5.157090e-03,1.938531e-03,1.999438e-03,2.224254e-03,-8.567661e-06,0.0034282312262803316,2.2424234362032496e-06,0.1696454349258429,0.1754471897419433,0.6967352032661438,0.01693618844587746,0.01070802390204384,0.007620257809743835,0.01070802390204384,0.030145054236054424,0.06025503313817739,0.0670946333376066,0.6092202907624064,0.005157089871060237,0.0019385309283540542,0.001999437706237388,0.00222425396033836,-8.567661050367502e-06
sqrtK_lr1.414e-03_bs32_gpu2,sqrtK,32,64,10000,2,0.0014142135623730952,5000,5749,7473,21.359866751998197,624.5359849689994,645.8958517209976,5.834894e-02,6.555621e-02,6.030506e-01,5.394768e-03,2.191865e-03,2.110339e-03,2.196136e-03,1.685255e-04,0.09198591858148575,1.147390289345463e-05,0.43181785330389527,0.516626226615103,0.7215473055839539,0.12355630006944891,0.07542569707613389,0.05454852431262831,0.07542569707613389,0.21266030833125113,0.05834894194840728,0.06555621291430126,0.6030505504647419,0.005394768469553256,0.0021918646975662703,0.0021103392483493334,0.0021961360757761783,0.00016852549689050296
sqrtK_lr1.414e-03_bs64_gpu2,sqrtK,64,128,10000,2,0.0014142135623730952,5000,5275,6575,20.340239462966565,550.0663790219696,570.4066184849362,7.527198e-02,8.667882e-02,6.341859e-01,1.061683e-02,4.113112e-03,4.090561e-03,4.201399e-03,1.365941e-04,0.019396940246224403,4.018549924957969e-06,0.3155870187108274,0.35278768466256727,0.7124959230422974,0.06408271959331673,0.04037510377122089,0.028319679011899235,0.04037510377122089,0.09971093666739761,0.07527197719540134,0.08667881959465375,0.6341858626710766,0.010616833496986854,0.0041131124551616605,0.0040905606888665584,0.004201399385452609,0.00013659409507649312
sqrtK_lr1.414e-03_bs128_gpu2,sqrtK,128,256,10000,2,0.0014142135623730952,5000,6267,8334,19.786717058974318,696.5667208280065,716.3534378869808,6.033481e-02,6.686628e-02,6.090954e-01,5.582566e-03,2.129862e-03,2.152004e-03,2.506106e-03,-1.004250e-04,0.021515216678380966,8.947131947961847e-06,0.2808398551580671,0.3023903631873973,0.7125033736228943,0.07127634405120735,0.05133683595457039,0.03290612526812747,0.05133683595457039,0.08462512203492226,0.06033480687958248,0.06686628244649251,0.6090954228359735,0.005582566123489079,0.002129862265127569,0.002152004013991345,0.0025061055036174184,-0.00010042500796322509
sqrtK_lr1.414e-03_bs256_gpu2,sqrtK,256,512,10000,2,0.0014142135623730952,5000,20000,22564,21.544351613963954,1894.3888758940157,1915.9332275079796,1.500729e-01,1.940188e-01,8.464900e-01,9.488111e-02,3.687340e-02,3.636547e-02,3.864652e-02,8.297291e-04,0.06688396632671356,1.7208138087318884e-05,0.20265312420976764,0.2718381361344273,0.9322990402579308,0.015631366210769566,0.010351197840645976,0.007125756415053117,0.011149006756022484,0.04212471691891551,0.1500728810029764,0.19401876850688154,0.8464900111074555,0.09488110715935273,0.036873400208283,0.036365473968715555,0.03864652317878395,0.0008297290691427646
sqrtK_lr1.414e-03_bs512_gpu2,sqrtK,512,1024,10000,2,0.0014142135623730952,5000,4524,5486,19.862619927036576,459.46524418500485,479.3278641120414,6.466621e-02,7.320294e-02,6.179746e-01,4.799342e-05,5.294780e-06,3.236121e-05,9.419714e-04,2.966679e-04,0.05122413858771324,5.507068630033974e-06,0.36982756357705504,0.4251918257739548,0.7030358910560608,0.08319344238480197,0.047697247286559774,0.03573002738477058,0.047697247286559774,0.14789381987415257,0.06466620754730655,0.07320293993158578,0.6179746099733288,4.7993415066665384e-05,5.294779564901653e-06,3.236120833857491e-05,0.0009419714472927842,0.0002966679322683131
sqrtK_lr1.414e-03_bs1024_gpu2,sqrtK,1024,2048,10000,2,0.0014142135623730952,5000,4896,5320,20.083657838986255,447.29500321799424,467.3786610569805,6.327270e-02,7.078249e-02,6.154573e-01,6.590871e-03,2.556020e-03,2.560038e-03,2.800611e-03,7.058031e-05,0.005434437654912472,2.355601839496289e-06,0.13614807437423146,0.14084172997332528,0.691498875617981,0.0153627416576026,0.01289498729030969,0.007299720695132514,0.01289498729030969,0.018459862424060704,0.06327269916242673,0.07078249374202689,0.6154572603356514,0.0065908706889047115,0.002556020274054882,0.002560037988708197,0.0028006108370608462,7.058030962549514e-05
sqrtK_lr1.414e-03_bs2048_gpu2,sqrtK,2048,4096,10000,2,0.0014142135623730952,5000,6789,7262,21.631008855008986,612.2844350470114,633.9154439020203,6.205838e-02,6.922551e-02,6.137434e-01,4.831104e-03,1.799912e-03,1.864306e-03,2.081412e-03,1.129862e-04,0.06063653528690338,1.9252483459025735e-06,0.41586158280700747,0.4916475825160648,0.7079466581344604,0.09550547217148722,0.05282432496780576,0.040880533961160176,0.05282432496780576,0.18907624096609651,0.06205837991304927,0.06922551244266167,0.6137434282834482,0.004831104299984145,0.0017999120575165062,0.0018643059268584072,0.0020814123025491016,0.00011298622753460245
sqrtK_lr1.414e-03_bs4096_gpu2,sqrtK,4096,8192,10000,2,0.0014142135623730952,5000,5150,5816,21.137700320978183,488.4955194059876,509.63321972696576,6.299324e-02,7.036231e-02,6.149773e-01,6.094819e-03,2.299191e-03,2.361584e-03,2.592814e-03,1.037696e-04,0.002878359518945217,2.544622513670749e-06,0.07997632661894921,0.089528161224529,0.6470412015914917,0.003993351887419113,0.0024376840484959805,0.0017230597885636066,0.0024376840484959805,0.003987382417544723,0.06299323654057273,0.07036231226351398,0.6149772508765422,0.006094819125404772,0.0022991906053644318,0.0023615844981386865,0.002592813930582527,0.00010376958546559174
